은행,카드명,혜택,분류
우리은행,All For Me카드,"주요 7대 업종 5~10% 할인
치킨 / 피자 10% 청구할인
스타벅스, 이디야, 폴바셋 20% 할인","1,"
우리은행,썸(SUM) 페이 카드,"주요 PAY 결제 시 7% 할인
실물카드 결제 시 5% 할인
치킨/피자 10% 청구할인","1,"
우리은행,부자되세요 홈쇼핑카드,"6대 홈쇼핑  6% 할인!
전국 영화관 3천원 할인! 주요 놀이공원 50% 할인!
패밀리레스토랑 10% 할인! 커피 20% 할인","1, 3, 7,"
우리은행,맑은 우리 카드,"가맹점별 0.7%~2.0% 적립
충전요금 30% 할인","3, 4,"
우리은행,ALL 다모아카드,"모아포인트 1.0 ~ 1.8% 적립
멀티 멤버십 서비스 제공
NHN서비스 및 생활 밀착 서비스 제공","3,"
우리은행,위비멤버스카드,"위비꿀머니 적립 및 보너스 적립
적립된 위비꿀머니로 다양한 혜택 제공되는 위비멤버스 서비스 제공
치킨/피자, 커피 할인 등 실생활 서비스 제공","1, 2,"
우리은행,우리사장님(Power)카드,"높은 포인트적립률과 현금자동입금서비스
개인사업자를 위한 WIN-TAX서비스 제공
실속있는 프리미엄 서비스 제공","3,"
우리은행,갤러리아 우리카드,"갤러리아백화점 할인혜택
갤러리아백화점 5% 현장할인 / 5% 청구할인, 생활밀착형 할인혜택
주유 리터당 60원 할인 / 커피 10% 청구할인 / 영화 5천원할인 / 대림미술관 할인","1, 3, 4, 7,"
우리은행,카드의정석 NEW우리V카드,"25%
패밀리레스토랑 할인, 6천원
CGV, 롯데시네마 최대 6천원 할인, 5%
모든 마트, 모든 주유소, 모든 병의원 등 5% 할인","1, 2, 3, 4, 7,"
우리은행,MG새마을금고 카드의정석 SHOPPING,"온라인 쇼핑 할인의 정석
온라인 쇼핑 10% 청구할인, 오프라인 쇼핑 할인의 정석
오프라인 쇼핑 10% 청구할인, 추가 할인의 정석
온라인 업종 4대 PAY 결제 시 5% 추가할인","3,"
우리은행,MG새마을금고 카드의 정석 POINT,"포인트 적립의 정석
모아포인트 0.8% ~ 5% 적립, 추가 적립의 정석
3% 추가 적립","3,"
우리은행,카드의정석 하이마트,"1~2만원
하이마트 상품 청구할인, 3,000원
전국 영화관 청구할인, 10%
아웃백, VIPS 청구할인","1, 2, 3, 7,"
우리은행,위메프 우리카드,"5%
위메프 포인트 적립, 50%
스타벅스 할인, 10%
편의점 업종 할인","1, 2, 3,"
우리은행,세이 우리카드,"5% ~ 7%
백화점세이 할인 서비스 제공, 2~3 개월
백화점세이 무이자할부 제공, 20% 할인
커피전문점 20% 할인","1, 3,"
우리은행,Syrup n 11ST 우리카드,"1만원~3만원
11번가 할인쿠폰 제공, 3,000원 할인
전국 영화관 3,000원 할인, 20%
커피전문점 20% 할인","1, 3, 7,"
우리은행,OK캐쉬백 위비할인카드,"OK캐쉬백 멤버십 서비스
OK캐쉬백 포인트 적립 및 사용, 7%
주요 9대 업종에서 7% 청구할인, 자동이체
자동이체 시 매월 포인트 적립","2, 3,"
우리은행,부자되세요 홈쇼핑카드,"홈쇼핑 할인
6대 홈쇼핑  6% 할인!, 생활 할인1
전국 영화관 3천원 할인! 주요 놀이공원 50% 할인!, 생활 할인2
패밀리레스토랑 10% 할인! 커피 20% 할인","1, 3, 7,"
우리은행,Every Mall카드,"7 ~ 15%
국내외 온라인 가맹점 할인서비스, 6천원
CGV인터넷 홈페이지 예매고객 할인, 3천원
커피전문점 할인","1, 3, 7,"
우리은행,우리 전통시장 W카드,"5%
전통 할인 가맹점 등 시간대별 5% 청구할인, 0.5%
할인시간대 이외 전통 할인 가맹점 0.5% 청구할인, 5%
버스·지하철 이용금액의 5% 청구할인","2, 3,"
우리은행,우리플래티늄카드 C-class,"5%
3대 업종 5% 할인 서비스(차감청구)-백화점, 대형할인마트, 인터넷쇼핑업종, 50%
커피 할인 서비스(차감청구)-최대50%, 80원
주유 할인 서비스(차감청구)-리터당 최대 80원","1, 2, 3, 4,"
우리은행,우체국 카드의 정석 POINT,"포인트 적립의 정석
모아포인트 5% ~ 0.8% 적립, 추가 적립의 정석
3% 추가 적립","3,"
우리은행,우체국 카드의정석 SHOPPING,"10% 할인
온라인 쇼핑, 오프라인 쇼핑 청구할인, 5% 추가 할인
온라인 업종 4대 PAY 결제 시, 리터당 60원 할인
4대 주유소 주말 주유 시 청구할인","3, 4,"
우리은행,일룸 스마트 우리카드,"1~2만원
일룸 상품 청구할인, 3,000원
전국 영화관 청구할인, 10%
아웃백, VIPS 청구할인","1, 3, 7,"
우리은행,한샘 스마트 우리카드,"10,000원 ~ 20,000원
한샘 상품 청구할인, 3,000원
전국 영화관 청구할인, 10%
아웃백, VIPS 청구할인","1, 3, 7,"
우리은행,위니아대우 스마트 우리카드,"1~2만원
위니아대우 상품 청구할인, 3,000원
전국 영화관 청구할인, 10%
아웃백, VIPS 청구할인","1, 3, 7,"
우리은행,ONLY 나만의카드,"10%
주요 자동이체 업종 10% 청구할인, 2천원
대형할인점 2,000원 청구할인, 10%
스타벅스 10% 청구할인","1, 2,"
우리은행,NEW BS렌탈 우리카드,"1.3~1.5만원
BS 렌탈요금 청구할인 서비스 제공, 3,000원 할인
모든 영화관 3,000원 할인, 20% 할인
커피전문점 20% 할인","1, 2, 7,"
우리은행,LG전자 베스트렌탈 우리카드,"20,000원
100만원 이상 자동이체시 청구할인, 13,000원
30만원 이상 자동이체시 청구할인","2,"
우리은행,SK매직 우리카드,"20,000원
100만원 이상 자동이체시 청구할인, 13,000원
30만원 이상 자동이체시 청구할인","2,"
우리은행,SK매직 슬림할부 우리카드,"24~36개월
SK매직 물품 및 서비스 장기 할부 제공, 1만원 ~ 2만원
SK매직 할부요금 1~2만원 청구할인",
우리은행,NEW 코웨이 우리카드,"13,000원
전월실적 30만원 이상 시, 20,000원
전월실적 100만원 이상 시",
우리은행,동양생명 우리카드,"1만원 ~ 2만원
동양생명 보험료 자동이체 청구할인","2,"
우리은행,우리 아이행복카드,"5%
9대 업종 5% 할인, 50%
놀이공원 50% 할인, 3천원
영화관 3천원 할인","7,"
우리은행,우리 국민행복카드,"5%
병/의원, 조산원, 산후조리원  업종 청구할인, 20%
스타벅스, 커피빈, 카페베네 청구할인, 0.2~0.8%
에코머니 포인트 적립","1, 2, 3,"
우리은행,다둥이행복카드,"최대 70원
GS칼텍스 주유시 리터당 50원~70원 할인, 2~3개월
전 가맹점 무이자할부, 500원~1,000원
통신요금 자동이체시 최대 2건 1,000원 할인","2, 3, 4, 5,"
우리은행,동양매직 우리카드,"1 ~ 2만원
렌탈요금 1 ~ 2만원 청구 할인, 3,000원
전국 영화관 3,000원 할인, 20%
커피전문점 20% 할인","1, 2, 7,"
우리은행,코웨이 우리카드,"1~2만원
렌탈요금 1~2만원 청구할인, 3,000원
전국 영화관 3,000원 할인, 20%
커피전문점 20% 할인","1, 2, 7,"
우리은행,코웨이 Slim할부 우리카드,"1 ~ 2만원
웅진코웨이 할부요금 1~2만원 청구할인, 3,000원
전국 영화관 3,000원 할인, 20%
커피전문점 20% 할인","1, 2, 7,"
우리은행,교원 웰스 우리카드,"1~2만원
교원 렌탈요금/ 물망초 상조회비 할인, 6천원
CGV인터넷 홈페이지 예매고객 할인, 3천원
커피전문점 할인","1, 2, 7,"
우리은행,LG전자 라서즐거운 카드,"10,000원 ~ 20,000원 할인
LG전자 장기할부 또는 렌탈요금 할인, 3,000원 할인
전국 영화관3,000원 할인, 20% 할인
커피전문점 20% 할인","1, 2, 7,"
우리은행,바디프랜드 카드,"1~2만원
바디프랜드 렌탈요금할인, 6천원
CGV인터넷 홈페이지 예매고객 할인, 3천원
커피전문점 할인","1, 2, 7,"
우리은행,바디프랜드 Slim(슬림)할부 우리카드,"10,000원 ~ 20,000원
할부요금, 3~5%할인
통신요금 3~5% 할인, 다양한 할인
대형마트, 커피, 병의원, (동물병원 포함), 약국 3~5% 할인","1, 2, 3, 5,"
우리은행,쿠쿠 렌탈프리멤버십 우리카드,"1~2만원
쿠쿠 렌탈요금 할인, 6천원
CGV인터넷 홈페이지 예매고객 할인, 3천원
커피전문점 할인","1, 2, 7,"
우리은행,쿠쿠 Slim(슬림)할부 우리카드,"10,000원 ~ 20,000원
할부요금할인서비스 제공, 3~5%할인
통신요금3~5%할인, 다양한 할인
대형마트, 커피, 병의원(동물병원 포함), 약국 3~5% 할인","1, 2, 3, 5,"
우리은행,청호나이스 Slim할부 우리카드,"10,000원 ~ 20,000원
할부요금할인서비스 제공, 3~5%할인
통신요금 3~5% 할인, 다양한 할인
대형마트, 커피, 병의원, (동물병원 포함), 약국 3~5% 할인","1, 2, 3, 5,"
우리은행,POP New 우리V카드,"5~10%
GS리테일, 백화점, 주유, 병의원, 학원, T-money 할인, 50%
놀이공원 자유이용권 50% 할인, 6천원
영화 최대 6천원 할인","2, 3, 4, 7,"
우리은행,우리V카드-知(지),"5천원
공연, 영화 5천원 정액 할인, 5%
전국 모든 학원, 유치원, 유학원 5% 할인, 5%
버스·지하철 이용금액의 5% 할인","2, 7,"
우리은행,YES24 우리V카드 知,"5천원
YES24 도서음반 30%할인,영화,공연 5천원할인, 5%
버스, 지하철 결제금액의 5% 할인, 5%
학원, 유학원, 유치원 (업종기준) 5% 할인","2, 3, 7,"
우리은행,엉 카드,"20,000원 ~ 40,000원
O2O 서비스 할인, 3,000원 할인
전국 영화관 3,000원 할인, 20% 할인
커피전문점 20% 할인","1, 7,"
우리은행,예다함 우리카드,"8,000원 ~ 14,000원
예다함 상조 자동이체 청구할인, 3000원
전국영화관 3,000원, 20% 할인
커피전문점 20%","1, 2, 7,"
우리은행,BS렌탈 우리카드,"8,000원 ~ 14,000원
자동이체 할인 서비스 제공, 3,000원 할인
전국 영화관 3,000원  할인 서비스 제공, 20% 할인
커피전문점 20%  할인 서비스 제공","1, 2, 7,"
우리은행,프리드라이프 우리카드,"8,000원 ~ 14,000원
자동이체 할인 서비스 제공, 3,000원 할인
전국 영화관 3,000원  할인 서비스 제공, 20% 할인
커피전문점 20%  할인 서비스 제공","1, 2, 7,"
우리은행,제일아쿠아 포티 라서즐거운카드,"1~2만원
렌탈요금 1~2만원 청구할인, 3,000원
전국 영화관 3,000원 할인, 20%
커피전문점 20% 할인","1, 2, 7,"
우리은행,스마트36 우리카드,"1~2만원
렌탈요금 자동이체 청구할인, 3,000원
전국 영화관 3,000원 할인, 20%
커피전문점 20% 할인","1, 2, 7,"
우리은행,현대렌탈케어 우리카드,"1 ~ 2만원
렌탈요금 할인서비스 제공, 3,000원
전국 영화관 3,000원 할인, 20%
커피전문점 20% 할인","1, 2, 7,"
우리은행,대림케어 라서즐거운카드,"1~2만원
렌탈요금 1~2만원 청구할인, 3,000원
전국 영화관 3,000원 할인, 20%
커피전문점 20% 할인","1, 2, 7,"
우리은행,현대 HCN 라서즐거운카드,"1 ~ 2만원
방송통신 서비스요금  1~2만원 청구할인, 3,000원
전국 영화관 3,000원 할인, 20%
커피전문점 20% 할인","1, 3, 5, 7,"
우리은행,리마크 우리카드,"5,000원 ~ 20,000원
임대관리비 할인서비스 제공, 3,000원 할인
전국영화관 3,000원 할인, 20% 할인
커피전문점 20% 할인","1, 3, 7,"
우리은행,라이나생명 라서즐거운카드,"3만원
보험료 매월 할인, 3천원
전국 영화관 청구 할인, 50%
놀이공원 현장 할인","2, 7,"
우리은행,우리 YG 신용카드,"10%
YG 공연티켓, 온라인몰 할인, 50%
놀이공원 50% 할인, 20%
커피전문점20% 할인","1, 3, 7,"
우리은행,헬러라서 즐거운카드,"1~2만원
렌탈요금 1~2만원 청구할인, 3,000원
전국 영화관 3,000원 할인, 20%
커피전문점 20% 할인","1, 2, 7,"
우리은행,인터파크도서 NEW우리V카드,"10%
인터파크도서 10% 청구할인 (월 최대 1만원, 월 3회 제한), 25%
패밀리레스토랑 25% 현장할인","1, 3,"
우리은행,한샘 라서즐거운 카드,"1 ~ 2만원
한샘 렌탈요금 할인서비스 제공, 3,000원
전국 영화관 3,000원 할인, 20%
커피전문점 20% 할인","1, 2, 7,"
우리은행,청호나이스우리카드,"13,000원 ~ 20,000원 할인
렌탈요금 할인서비스 제공","2,"
우리은행,아이파킹 크레딧 카,"주차장 할인
i PARKING 주차장 회당 최대 1만원 청구할인, 주유/충전 할인
全 주유소/LPG충전소 리터당 100원 청구할인","4,"
우리은행,우리Most카드,"140원/L~200원/L
Most주유소 최대 200원/L 청구할인, 2,000원
주차장 업종 건당 2,000원 청구할인, 5,000원
전 영화관 5,000원 청구할인","4, 7,"
우리은행,카드의정석 후불하이패스,"20~50% 할인
출퇴근 시간대 통행료 자동 할인","4,"
우리은행,에쓰-오일 400 우리카드,"15,000원 ~ 50,000원
S-OIL 주유소 주유할인 서비스 제공, 3,000원 할인
전국 영화관 3,000원 할인, 20% 할인
커피전문점 20% 할인","1, 4, 7,"
우리은행,위비 알뜰주유소 할인카드,"리터당 80~100원
전국 알뜰주유소에서 리터당 80~100원할인, 3,000원
전국영화관 3천원 할인, 10%
커피전문점, 치킨/피자 10% 할인","1, 4, 7,"
우리은행,마이카 우리카드,"5,000원 ~ 10,000원
자동차금융 이용고객 월 납부금 청구할인, 리터당 70원
주유/충전 청구할인, 10,000원 ~ 20,000원
자동차보험 청구할인","2, 4,"
우리은행,썸(SUM)화물복지카드(개인신용),"유가보조금
유가보조금 환급, 주유할인
최대 85원 할인, 커피전문점 할인
스타벅스, 커피빈, 투썸플레이스 25% 청구할인","1, 4,"
우리은행,SK 화물복지 50,"50원
SK에너지 우대주유소 할인, 리터당
유가보조금 지원, OK캐쉬백 적립
SK에너지, OK캐쉬백 가맹점 및 제휴사 이용시 OK캐쉬백 적립","3, 4,"
우리은행,S-OIL화물복지50,"50원
S-OIL 화물차우대주유소에서 현장할인, 리터당
유가보조금 지원, S-OIL 멤버십 서비스","4,"
우리은행,LPG 화물복지카드_E1,"10P ~ 30P
E1 오렌지포인트 적립, 5%
3대업종 청구할인(대형마트, 병의원,서점), 25%
스타벅스/커피빈/투섬플레이스 청구할인","1, 2, 3,"
우리은행,NEW화물차유류구매카드(개인신용),"부가세 환급지원
카드 이용 대금중 부가세 환급 대상 내역 지원!!, 5%
전국 대형마트,병ㆍ의원(한의원포함)서점,온라인교육청구할인, 20-25%
패밀리레스토랑 20-25% 현장할인","1, 2, 3,"
우리은행,SK Oil 400 우리카드,"15,000원 ~ 50,000원
SK주유소 주유할인서비스 제공, 3,000원 할인
전국 영화관 3,000원 할인, 20% 할인
커피전문점 20% 할인","1, 4, 7,"
우리은행,타고 싶은 카드,"주유 할인
주유 60~100원/ℓ 할인, 교통 할인
주요 교통수단 10% 할인, 기프트
SK모바일주유권 3만원권","4,"
우리은행,the Driver(더드라이버) 라서즐거운카드,"1~2만원
보험료 매월 할인, 3,000원
전국 영화관 청구 할인, 50%
놀이공원 현장 할인","2, 7,"
우리은행,넥센타이어 우리카드,"1 ~ 2만원
렌탈 자동이체 1만원~2만원 청구할인, 3,000원
전국 영화관 3,000원 할인, 20%
커피전문점 20% 할인","1, 2, 7,"
우리은행,부산광역시 승용차요일제카드,"3%
인터넷으로 자동차세 납부시 3%캐시백, 1천만원
운휴일 대중교통상해보험 최대 1천만원 보장, 200원
대중교통요금 건당 200원 캐시백","2, 4,"
우리은행,대전광역시 승용차요일제카드,"3%
대전광역시 자동차세 3% 청구할인, 400원
대중교통요금 건당 400원 청구할인, 3%
이동통신요금 카드자동이체 3%청구할인","2, 4, 5,"
우리은행,큰수레비지니스내트럭건설기계카드,"통신
휴대폰 이용료 자동이체 3% 할인, 최대 6천원 할인
CGV/메가박스/롯데씨네마 최대 6천원 할인, 쇼핑
3대 대형마트 5% 할인","2, 3, 5, 7,"
우리은행,에코마일리지 New우리V카드,"1만점
에코마일리지 5만점 적립 대상 추가 5천 에코머니, 6천점
서울시 주문세 카드납부시 6천점 에코머니, 10%
버스, 지하철 이용금액의 10% 에코머니 적립","2,"
우리은행,우리 XGOLF 카드,"포인트 적립
모아포인트 1.0%~3.0% 적립, 프리미엄 골프 서비스
XGOLF 그린피 10% 청구할인 등, 주유할인
리터당 40원 청구할인","2, 3, 4,"
우리은행,위비마일(SKYPASS),"2~1 마일리지
추가 및 기본적립, PP카드 제공
전세계 공항라운지 무료 이용, 프리미엄 여행서비스
해외 유명 박물관 등 입장권 할인","6, 7,"
우리은행,자유로운 여행카드(SKYPASS),"최대 2마일리지
국내 및 해외가맹점, 기프트
국내선 동반자 무료 왕복항공권 제공, 프리미엄 여행서비스
여행관련 혜택 및 유니온페이서비스 제공","3, 6,"
우리은행,자유로운 여행카드(Asiana Club),"최대 2마일리지
국내 및 해외가맹점, 기프트
국내선 동반자 무료 왕복항공권 제공, 프리미엄 여행서비스
여행관련 혜택 및 유니온페이서비스 제공","3, 6,"
우리은행,휘닉스 우리V카드,"패밀리레스토랑 25% 청구할인
최대 25% 할인, 6,000원
CGV, 롯데시네마 최대 6천원 할인, 60원
GS칼텍스 주유할인","1, 4, 7,"
우리은행,우리v 철도마일리지카드-레일플러스,"0.8%
국내 가맹점 이용액의 0.8% 적립, 5%
철도승차권 구입시 5% 적립, 무이자할부
백화점, 대형마트, 병·의원 2~3개월 무이자 할부","2, 3,"
우리은행,KT 카드의정석 Super DC,"KT 통신요금 자동이체 청구할인
KT 통신요금 할인서비스 제공, 모든 영화관 3,000원 청구할인
모든 영화관3,000원 할인, 스타벅스, 투썸플레이스 1천원 청구할인
스타벅스, 투썸플레이스 1천원 청구할인","1, 2, 5, 7,"
우리은행,New SKT 우리카드,"1만 8천원
통신요금 1만3천원~1만8천원 청구할인, 3,000원 할인
전국 영화관 3,000원 할인, 20%
커피전문점 20% 할인","1, 5, 7,"
우리은행,LG U+ 라서 The 즐거운 카드,"11,000원 ~ 23,000원
LGU+ 통신요금 할인서비스 제공, 3,000원 할인
전국 영화관3,000원 할인, 20% 할인
커피전문점 20% 할인","1, 5, 7,"
우리은행,KT Super 할부 우리카드,"7천원~1만 5천원
통신요금 7천원~1만 5천원청구할인, 3,000원 할인
전국 영화관3,000원 할인, 20% 할인
커피전문점 20% 할인","1, 5, 7,"
우리은행,SKT 우리카드,"2만 3천원
통신요금 1만1천~2만3천원 청구할인, 3,000원 할인
전국 영화관 3,000원 할인, 20%
커피전문점 20% 할인","1, 5, 7,"
우리은행,t-broad 라서 즐거운 우리카드,"1~2만원
방송통신 서비스/알뜰폰요금 1~2만원 청구할인, 3,000원
전국 영화관 3,000원 할인, 20%
커피전문점 20% 할인","1, 3, 5, 7,"
우리은행,세븐모바일 라서즐거운카드,"1~2만원
통신요금 1~2만원 청구할인, 3,000원
전국 영화관 3,000원 할인, 20%
커피전문점 20% 할인","1, 5, 7,"
우리은행,olleh CEO 우리카드,"최대 3만원
KT 통신요금 자동이체 할인, 3천원, 50%
전국 영화관 3천원 할인, 놀이공원 자유이용권 50% 할인, 10%, 20%
페밀리레스토랑 10% 할인 , 커피 20% 할인","1, 2, 5, 7,"
우리은행,대전광역시 승용차요일제카드,"3%
대전광역시 자동차세 3% 청구할인, 400원
대중교통요금 건당 400원 청구할인, 3%
이동통신요금 카드자동이체 3%청구할인","2, 4, 5,"
우리은행,우리 아이행복카드,"5%
9대 업종 5% 할인, 50%
놀이공원 50% 할인, 3천원
영화관 3천원 할인","7,"
우리은행,우리 국민행복카드,"5%
병/의원, 조산원, 산후조리원  업종 청구할인, 20%
스타벅스, 커피빈, 카페베네 청구할인, 0.2~0.8%
에코머니 포인트 적립","1, 2, 3,"
우리은행,썸(SUM)화물복지카드(개인신용),"유가보조금
유가보조금 환급, 주유할인
최대 85원 할인, 커피전문점 할인
스타벅스, 커피빈, 투썸플레이스 25% 청구할인","1, 4,"
우리은행,S-OIL화물복지50,"50원
S-OIL 화물차우대주유소에서 현장할인, 리터당
유가보조금 지원, S-OIL 멤버십 서비스","4,"
우리은행,SK 화물복지 50,"50원
SK에너지 우대주유소 할인, 리터당
유가보조금 지원, OK캐쉬백 적립
SK에너지, OK캐쉬백 가맹점 및 제휴사 이용시 OK캐쉬백 적립","3, 4,"
우리은행,NEW화물차유류구매카드(개인신용),"부가세 환급지원
카드 이용 대금중 부가세 환급 대상 내역 지원!!, 5%
전국 대형마트,병ㆍ의원(한의원포함)서점,온라인교육청구할인, 20-25%
패밀리레스토랑 20-25% 현장할인","1, 2, 3,"
우리은행,LPG 화물복지카드_E1,"10P ~ 30P
E1 오렌지포인트 적립, 5%
3대업종 청구할인(대형마트, 병의원,서점), 25%
스타벅스/커피빈/투섬플레이스 청구할인","1, 2, 3,"
우리은행,우리 국민연금증카드,"최대5천원 지원
버스요금 통합 매월 최대4회, 최대5천원 지원, 최대1만원, 최고5%
전통시장 / 전국 병원, 의원, 한의원 / 대형마트, 백화점, 하나로마트, 10%
이미용 및 베이커리 10% 할인 / 통신요금 10%할인","1, 2, 3, 5,"
우리은행,WithWOORI보조금결제전용카드,"WithWOORI 보조금결제전용카드
보조금 결제 및 자금의 효율적인 관리까지~~, 자금관리시스템 제공, 
클린서비스 제공",
우리은행,우리군인연금증카드,"각각 3만원, 10~20%
전국 군복지시설 골프장/휴양시설, 1~3만원, 10%
대형마트/백화점 병원/학원/대중교통, 무료이용
버스 월4회 무료이용서비스","2, 3,"
우리은행,국방신협 우리카드,"3만원, 10~20%
전국 군복지시설 / 골프장/ 영내외마트/ 휴양시설(숙박), 1~3만원, 5%
전통시장/전국 병의원/한의원/백화점/학원, L/60원LPG 충전 포함)
에쓰오일 주유/리터당 60원 할인","2, 3, 4, 6,"
우리은행,그린카드 (서울형),"0.8%
국내가맹점 이용금액 최대 0.8% 에코머니포인트 적립, 20%
전월 실적에 따라 버스, 지하철 이용금액 최대 20% 적립, 50%
전국 150 여 지자체 문화, 레저 시설 최대 50% 할인","2, 3, 7,"
우리은행,그린카드 (전국형),"0.8%
국내가맹점 이용금액 최대 0.8% 에코머니포인트 적립, 20%
전월 실적에 따라 버스, 지하철 이용금액 최대 20% 적립, 50%
전국 150 여 지자체 문화, 레저 시설 최대 50% 할인","2, 3, 7,"
우리은행,썸(SUM)화물복지카드(개인체크),"유가보조금
유가보조금 환급, 주유할인
최대 85원 할인, 커피할인
스타벅스, 커피빈 20% 캐시백 할인","1, 4,"
우리은행,[문화] The Family 동부카드,"10%
KTX 이용금액의 10% 할인, 60원
SK주유소 리터당 60원 할인, 문화 라운지
뮤지컬, 연극 등 공연 상시 할인 및 이벤트 제공","4, 5, 7,"
우리은행,[골프] The Family 동부카드,"10%
KTX 이용금액의  10% 할인, 60원
SK주유소 리터당 60원 할인, 골프 라운지
파3 골프장 연2회 무료, 드라이빙레인지 연 2회 무료","2, 4, 5,"
우리은행,국기원 단증카드,"위비꿀머니적립
위비꿀머니 적립 및 보너스 적립, 위비멤버스 서비스 제공
적립된 위비꿀머니로 다양한 혜택 제공되는 위비멤버스 서비스 제공, 실생활 서비스
치킨/피자, 커피 할인 등 실생활 서비스 제공","1, 2,"
우리은행,우리성당카드 다모아포인트,"0.5% 적립
국내 모든 가맹점 0.5% 적립, 최대 50%
놀이공원 현장 할인, 20%
커피전문점 청구 할인","1, 3, 7,"
우리은행,한국장학재단(KOSAF) 주거래 다모아 포인트 카드,"포인트
적립된 상환용포인트 자녀양도, 50%
놀이공원 50% 할인, 20%
커피전문점 20%할인","1, 3, 7,"
우리은행,법원가족상조회 우리V카드 더블유(W),"5%
전월 국내가맹점 이용금액의 5%가 매월 초 할인한도로 생성, 5%
적시적소가맹점 5% 할인, 5%
대중교통(버스/지하철) 5% 할인 (시간대 구분없이 상시 할인)","2, 3,"
우리은행,kt family 카드,"50%
kt금호렌터카 주중/주말 50% 현장 할인(제주지역 별도할인율 적용), 20%
올레뮤직 모든 정기결제상품 구매시 10~20% 청구 할인, 5%
기프티쇼 온라인몰(www.giftishow.com) 이용시 5% 청구 할인","2, 3,"
우리은행,SDU-V Family 카드,"1%
[교육할인]서울디지탈대학교 1%할인, 6,000원
CGV/메가박스/롯데씨네마 최대 6천원 할인, 25%
패밀리레스토랑 25% 현장할인","1, 2, 7,"
우리은행,연세동문V카드 / ASIANA,"60원
GS칼텍스 주유시 리터당 60원 할인, 우대
은행거래수수료 면제, 환전 수수료, 예금, 대출금리 우대, 2마일
국내가맹점 Two-in-One(체크) 결제금액 1,500원당 2마일 적립","3, 4, 6,"
우리은행,연세동문 V 카드 / LIFE CARE,"60원 할인
GS칼텍스 주유할인, 25% 할인
패밀리레스토랑 25%, 20% 청구할인
스타벅스, 커피빈, 투썸플레이스 25% 청구할인","1, 4,"
우리은행,서울시립대학교 NEW우리V카드,"25%
VIPS, 차이나팩토리 최대 25% 할인, 6,000원
CGV, 롯데시네마 최대 6천원 할인, 5%
전국 모든 주유소(LPG충전소 제외)","1, 4, 7,"
